Position Title,Date,Apply,Work Model,Location,Company,Company Size,Company Industry,Salary,Qualifications,H1b Sponsored,Is New Grad
Assistant Project Manager,2025-03-05,https://jobright.ai/jobs/info/67c8facd62db9802bfc274b0?utm_source=1100&utm_campaign=pm,On Site,"Multi Location
California, United States
Anaheim, CA
Ventura, CA
Santa Barbara, CA",Rosendin,1001-5000,,$69K-$95K /yr,"1. Knowledge of construction technology, scheduling, equipment, and methods required
2. Tactful and has a professional demeanor, and ability to interact effectively with managers, employees, vendors, and others
3. Strong organizational, record-keeping, and follow-up skills
4. Strong attention to details
5. Demonstrated excellence in organization and time management skills
...",not sure,
Associate Project Manager - Entertainment,2025-03-05,https://jobright.ai/jobs/info/67c8d11f1951f2744a642fc6?utm_source=1100&utm_campaign=pm,On Site,"11601 Wilshire Blvd, Los Angeles, CA, 90025, US",Fanatics,10000+,"eSports,Manufacturing",$72000-$88000 /yr,"1. Establish and maintain a strong leadership presence with the ability to influence overlapping stakeholders across complex organizations.
2. Attention to detail and strong organizational skills particularly in the ability to multi-task and prioritize across a complex portfolio.
3. Data proficiency particularly in understanding complex processes with multiple touchpoints, particularly ability to identity (and act on) warning flags and long-term trends.
4. Strong critical thinking and problem-solving capabilities particularly in unanticipated or novel problems.
5. Business judgment in balance competing demands and prioritizing requests for resources and escalation.
...",not sure,
RanchLife Project Coordinator,2025-03-05,https://jobright.ai/jobs/info/67c05acadbf2a794b0eb3bef?utm_source=1100&utm_campaign=pm,On Site,"Multi Location
Rancho Mission Viejo, CA
Mission Viejo, CA",FirstService Residential,10000+,"Property Management,Real Estate",$23-$25 /hr,"1. Proficient in English.
2. Strong ethical practices.
3. Strong internal/external customer relation skills required with the ability to communicate effectively with all levels of management, associates, members, and other stakeholders.
4. Excellent general math skills.
5. Demonstrates organizational and time management skills with the ability to multi-task, implement, and monitor progress for successful completion.
...",not sure,
Project Manager,2025-03-05,https://jobright.ai/jobs/info/67c8c16838459ec2bb9a34b1?utm_source=1100&utm_campaign=pm,On Site,Nellie Craig Walker Hall,Miami University,,,$55000-$60000 /yr,"1. Bachelor's degree in Marketing, Communications, Business Administration, or relevant field
2. 1-3 years of experience in project management
3. The project manager must obtain their Certified Associate in Project Management (CAPM) certification within 1 year of employment. Miami will provide funding for the coursework and exam.
4. Proficient in project management tools (e.g., Wrike, Asana, Monday, etc.) and methodologies (Agile, Waterfall, etc.).
5. Detail-oriented with excellent organizational and time management abilities.
...",not sure,
"Project Controls Specialist, Project Controls & Reporting",2025-03-05,https://jobright.ai/jobs/info/67c8d74deaa6d008d8511db8?utm_source=1100&utm_campaign=pm,On Site,"Northborough, MA",National Grid,10000+,"Delivery,Energy",$95K-$112K /yr,"1. Bachelor's degree required.
2. 1+ years of work experience in Project Controls, Project Management or Data Analytics/Logic
3. Experienced working under tight deadlines
4. Experienced in influencing, persuading, communicating, challenging, and negotiating.
5. Proficient in Microsoft Suite (Word, PowerPoint, Excel-VLOOKUPs, pivot tables)
...",not sure,
Project Manager in Training,2025-03-05,https://jobright.ai/jobs/info/67c8b25f001c2301741be6ae?utm_source=1100&utm_campaign=pm,On Site,"Denver, CO",Aeroseal,101-250,"CleanTech,Green Building",$45000-$50000 /yr,"1. High school diploma or GED - New graduates welcomed and encouraged to apply!
2. Valid driver's license
3. Due to the nature of federal and government contracts, candidate must be able to pass a background check, including drug screening, prior to hire",no,
Project Administrative Assistant - Wind - Cheyenne Wells CO,2025-03-05,https://jobright.ai/jobs/info/67c90c4de9ecff35a15cb60b?utm_source=1100&utm_campaign=pm,Hybrid,USA,Mortenson,1001-5000,"Commercial Real Estate,Construction",$24-$32 /hr,"1. Excellent organizational, detail and multi-tasking skills with the ability to be flexible as needed
2. Proficient skills in Microsoft Office
3. Strong verbal and written communication skills across organizational levels and backgrounds
4. Shown positive and professional attitude with strong teamwork orientation and customer service skills, including initiative, communication, problem-solving, and leadership
5. Basic knowledge of accounting, customer service, payroll, contracts, insurance, and daily reports
...",no,
Project Management Specialist,2025-03-05,https://jobright.ai/jobs/info/67c8a8e45ce58d36ff0b4218?utm_source=1100&utm_campaign=pm,On Site,"El Segundo, CA",Boeing,1001-5000,"Aerospace,Industrial",$93500-$126500 /yr,"1. 1+ years of Project Management.
2. The ability to relocate at your own expense if not already within commuting distance of the Boeing worksite in El Segundo, CA and the ability and willingness to perform all work onsite.",no,
"Project Manager, Community Planning",2025-03-05,https://jobright.ai/jobs/info/67c8a60dc0a1d8630f2d763a?utm_source=1100&utm_campaign=pm,On Site,"Multi Location
Irvine, CA
Palm Desert, CA
Riverside, CA",Toll Brothers,1001-5000,"Architecture,Construction",$94K-$125K /yr,"1. Solid knowledge of major activities associated with residential real estate acquisition and development
2. Solid knowledge of residential real estate financial analysis
3. Proven track record of managing complex processes with diverse groups of stakeholders
4. Proven history of delivering projects against established timelines
5. Familiar with current software applications used within the residential construction industry, and are good at helping others see the benefits of integrating technology with residential real estate operations
...",not sure,
TWDB - 25-55: Engineering Reviewer (Project Manager I - II),2025-03-05,https://jobright.ai/jobs/info/67c89d4cd8dfff28961847c7?utm_source=1100&utm_campaign=pm,Hybrid,"Multi Location
Texas-Harlingen, Texas-Houston, Texas-Mesquite
TWDB Stephen F Austin Bldg1700 Congress Ave
Texas-AustinWork Locations",Texas Water Development Board,251-500,,$4673-$5788.50 /mon,"1. Graduation from an accredited four-year college or university with a bachelor's degree in engineering or a related field OR applicant is currently working toward a bachelor’s degree that will be obtained by May 31, 2025.
2. Project Manager I - Up to three years of relevant experience in project review or in the engineering field.
3. Project Manager II - More than three years of relevant experience in project review or in the engineering field.
4. Relevant education and experience can be substituted for each other on a year-for-year basis.",no,
Project Coordinator,2025-03-05,https://jobright.ai/jobs/info/67ce869543033c9b1935250f?utm_source=1100&utm_campaign=pm,On Site,"Midland, Michigan","Precision Valley Communications, LLC",251-500,"CAD,Mapping Services",$18-$18 /hr,"1. Experience reading construction drawings and prints and verify production
2. Must be reliable and able to work independently
3. A valid, unrestricted driver’s license (Commercial driver’s license preferred but not required)
4. Successful completion of pre-employment background check, motor vehicle check, drug test, and DOT physical exam, resulting in a valid medical card
5. High School Diploma or GED",not sure,
Project Coordinator,2025-03-05,https://jobright.ai/jobs/info/67ce313ee92d78511de9b429?utm_source=1100&utm_campaign=pm,On Site,"Midland, Michigan","Communications Construction Group, LLC",501-1000,"Civil Engineering,Construction",$18-$18 /hr,"1. Experience reading construction drawings and prints and verify production
2. Must be reliable and able to work independently
3. A valid, unrestricted driver’s license (Commercial driver’s license preferred but not required)
4. Successful completion of pre-employment background check, motor vehicle check, drug test, and DOT physical exam, resulting in a valid medical card
5. High School Diploma or GED",not sure,
Project Coordinator,2025-03-05,https://jobright.ai/jobs/info/67cead7aef683fb990b0837a?utm_source=1100&utm_campaign=pm,On Site,"Midland, Michigan","Telcom Construction, LLC",251-500,"Construction,Telecommunications",$18-$18 /hr,"1. Experience reading construction drawings and prints and verify production
2. Must be reliable and able to work independently
3. A valid, unrestricted driver’s license (Commercial driver’s license preferred but not required)
4. Successful completion of pre-employment background check, motor vehicle check, drug test, and DOT physical exam, resulting in a valid medical card
5. High School Diploma or GED",not sure,
Project Coordinator,2025-03-05,https://jobright.ai/jobs/info/67c897c3a8273533a3afb265?utm_source=1100&utm_campaign=pm,Hybrid,United States,"Continuum Clinical, A Spectrum Science Company",101-250,"Biotechnology,Health Care",$21-$26 /hr,"1. Bachelor’s Degree preferred
2. Working knowledge and/or willingness to learn and understand Project Management fundamentals; 0-2 years’ experience or other relevant exposure like an internship will also be considered in Project Management/Client service-oriented roles managing projects in marketing, communications, advertising or related fields
3. Healthcare, life science, pharmaceutical, or similar regulated experience a plus; i.e. research, clinical trials, commercial, or operations
4. Strong attention to detail
5. Excellent communication skills
...",no,yes
Building Automation Associate Project Manager – Greater Atlanta,2025-03-05,https://jobright.ai/jobs/info/678fa2e397112c5b2c836538?utm_source=1100&utm_campaign=pm,On Site,"Multi Location
Norcross, GA
Atlanta, GA",Siemens,10000+,"Artificial Intelligence (AI),Consulting",$49K-$85K /yr,"1. High School Diploma or state-recognized GED
2. Experience (either on-the-job or through education) with project management or engineering
3. Must be able to read and understand construction blueprints and customer specifications
4. Experience with Microsoft Office and Microsoft Project
5. Must be 21 years of age and possess a valid driver's license with limited violations
...",no,
Project Coordinator,2025-03-05,https://jobright.ai/jobs/info/67c8d74deaa6d008d8511fa4?utm_source=1100&utm_campaign=pm,On Site,"Richmond, VA","GenTech Associates, Inc. ",101-250,"Accounting,Training",$15-$19 /hr,"1. 1-3 years of experience in project coordination on large, complex IT projects
2. Strong organizational and multitasking skills
3. Excellent communication and interpersonal abilities
4. Proficiency in MS 365 and MS Project
5. Ability to work independently and as part of a team
...",not sure,
Project Manager,2025-03-05,https://jobright.ai/jobs/info/671014a5d52dabc0dce1f5d4?utm_source=1100&utm_campaign=pm,Hybrid,"Multi Location
Stockton, CA
Fresno, CA
Chico, CA
Sacramento, CA
San Ramon, CA",ENTRUST Solutions Group,1001-5000,"Consulting,Industrial Automation",$91K-$120K /yr,"1. Min 1 year of experience functioning in a project administration, project operations, project controls and/or project management capacity within a fast-paced environment where you owned the process life cycle(s) from beginning to end
2. Underground Construction Background, preferably in Utilities – Gas or Electric
3. Ability to lead projects by collaborating with cross-functional teams.
4. General project management experience. Ability to manage cost, budget, schedule, and coordinate site walks as necessary",not sure,
"Building Automation Service Project Manager – Beltsville, MD",2025-03-05,https://jobright.ai/jobs/info/67c852569fa49a0578573d72?utm_source=1100&utm_campaign=pm,On Site,"Beltsville, MD",Siemens,10000+,"Artificial Intelligence (AI),Consulting",$81K-$139K /yr,"1. High School Diploma or state-recognized GED
2. 1+ years of on-the-job project management, engineering internship, or related work experience in building automation
3. Must be able to demonstrate: Knowledge and understanding of commercial HVAC controls or building automation systems or related; ability to read and understand basic electrical drawings and customer specifications
4. Knowledge and understanding of industry applications; ability to read and understand drawings and specifications, and electrical, network, and control wiring diagrams
5. Experience with Microsoft Office
...",no,
Project Coordinator I,2025-03-05,https://jobright.ai/jobs/info/67ac3565816f42a56de569de?utm_source=1100&utm_campaign=pm,On Site,"Augusta, ME","TRC Companies, Inc.",5001-10000,"Consulting,Energy",$65K-$85K /yr,"1. Bachelor’s degree or equivalent in Engineering, Construction Management or Business from an accredited school or University or equivalent related experience is required.
2. Work toward Certification as PMI Scheduling Professional (PMI-SP)
3. Minimum 0-4 years related experience.
4. Knowledge of, and experience with the major aspects of engineering workflow, procurement, construction, project controls including experience scheduling medium to large, complex projects.
5. Has general knowledge of cost accounting and critical path method scheduling with strong attention to detail in project scheduling.
...",not sure,yes
Project Manager,2025-03-05,https://jobright.ai/jobs/info/67c9aa3959bb86f231fd8eb9?utm_source=1100&utm_campaign=pm,On Site,"Tacoma, WA",Bargreen Ellingson,501-1000,"Food and Beverage,Hospitality",$25-$25 /hr,"1. Management of development schedule - confirming account set up, orders entered, and project notes.
2. Scheduling install/delivery dates with staging company and internal warehouses.
3. Management of shared drive- running the open order report for project summary.
4. Securing staging contracts.
5. Communicating with franchisees and general contractors for project updates, scheduling deliveries, and order tracking.
...",not sure,
Implementation Project Coordinator,2025-03-05,https://jobright.ai/jobs/info/67909f7c44cb3b687d38bd9e?utm_source=1100&utm_campaign=pm,Hybrid,"Columbia, MO",EquipmentShare,1001-5000,"Construction,Fleet Management",$20-$23 /hr,"1. Must have very strong written and verbal communication skills
2. Self-motivated - doesn’t need daily management
3. Experience serving a large and complex customer base
4. Time management and organization, advanced communication and presentation
5. You learn and alter behaviors due to mistakes and feedback
...",not sure,
Implementation Project Manager,2025-03-04,https://jobright.ai/jobs/info/67c7a9858a0f1b1d5410ace4?utm_source=1100&utm_campaign=pm,Hybrid,"Buffalo, NY",Odoo,1001-5000,"E-Commerce,Human Resources",$55K-$80K /yr,"1. Bachelor's Degree preferred
2. Excellent planning, mapping, and communication skills combined with client interaction, being able to make in-the-moment decisions based on new information constantly
3. An affinity with the Information Technology world, you understand the use cases of ERP (Enterprise Resource Planning software)
4. Passion for software
5. Enthusiastic to learn
...",no,
Project Manager I,2025-03-04,https://jobright.ai/jobs/info/67c7b297b12b25da0ac83d3c?utm_source=1100&utm_campaign=pm,On Site,"Houston, TX",CHI,10000+,"Health Care,Hospital",$36-$53 /hr,"1. Bachelor of Science degree in business administration or equivalent
2. 1 Year Of Total Project Management Experience Required
3. Experience with project management applications (e.g., Microsoft Project Pro/Server, Clarity, Primavera)
4. Experience in at least one project management methodology is required
5. Ability to communicate effectively to direct and motivate team and others, maintaining a persuasive and credible presentation style at all levels of the organization
...",not sure,
Project Coordinator,2025-03-04,https://jobright.ai/jobs/info/67c8a8e45ce58d36ff0b4797?utm_source=1100&utm_campaign=pm,On Site,"St Paul, MN",Center for Energy and Environment,101-250,"Commercial,Communities",$27-$29 /hr,"1. Significant understanding of building science and electrification as related to residential buildings and the ability to explain the benefits of efficiency improvements and electrification projects to participants.
2. Must demonstrate excellent communication skills, both written and verbal, and comfortably and efficiently communicate over the phone, email or text with participants and contractors.
3. Time-management, multitasking, organizational skills, and the ability to meet deadlines will be required to effectively manage multiple participants in different Decarbonization programs.
4. Must be able to manage work tasks independently.",not sure,
Project Manager,2025-03-04,https://jobright.ai/jobs/info/67c78583c4e4922660fa3657?utm_source=1100&utm_campaign=pm,On Site,"Multi Location
Sharonville, OH
Canton, MI
Columbus, OH",Victors Home Solutions,101-250,"Building Maintenance,Civil Engineering",$25-$25 /hr,"1. Comfortable using ladders safely to access roof and attics
2. Ability to think independently and outside the box
3. Able to adapt to and embrace change
4. Able to work with others and willing to contribute to the team
5. Experience in customer service",not sure,
Project Coordinator - Business Analytics,2025-03-04,https://jobright.ai/jobs/info/67c76efc362c1bff70e860bf?utm_source=1100&utm_campaign=pm,On Site,"Oshkosh, Wisconsin, United States",Oshkosh Corporation,10000+,"Automotive,Industrial",$50400-$77200 /yr,"1. Bachelor's degree in a related field
2. 1+ years of related experience
3. Proficiency in SQL, Power BI report development, and VBA (Visual Basic for Applications)
4. Strong Excel skills, including advanced functions and data analysis
5. Experience with data visualization and reporting tools
...",not sure,
Project Controls Analyst,2025-03-04,https://jobright.ai/jobs/info/67c8cea7292b154b83657b37?utm_source=1100&utm_campaign=pm,Hybrid,"Houston, TX",Workrise,251-500,"Billing,Compliance",$84K-$90K /yr,"1. Experience in Microsoft Project, Word, Excel, PowerPoint, Forecasting Process and Oracle
2. Possess adequate communication skills
3. Ability to learn and/or have knowledge of natural gas equipment
4. 0-2 years experience in Project Analysis, Controls and Data Analytics required",not sure,yes
Project Administrator,2025-03-04,https://jobright.ai/jobs/info/67c7615f6f371335c751374a?utm_source=1100&utm_campaign=pm,On Site,"Pittsburgh, PA",Franklin ,51-100,"E-Commerce,Retail",$21-$24 /hr,"1. A minimum of two years of formal education in business and/or office procedures or equivalent work experience.
2. A minimum of one year industry related experience, preferably in customer support or operations position.
3. Excellent verbal and written communication skills, problem solving skills, and attention to detail.
4. Solid organizational skills, including multitasking and time management.
5. Strong client facing and teamwork skills.
...",not sure,
Project Administrator,2025-03-04,https://jobright.ai/jobs/info/67c7471abb5bb95e9fd004da?utm_source=1100&utm_campaign=pm,On Site,"Poway, CA",General Atomics,10000+,"Energy,Energy Efficiency",$52K-$87K /yr,"1. Typically requires a bachelors degree in Business Administration or a related discipline. Equivalent professional experience may be substituted in lieu of education.
2. Must demonstrate a basic understanding of project administration principles, theories, concepts and techniques.
3. Must have experience organizing, planning, scheduling, conducting, and coordinating work assignments to meet project milestones or established completion dates.
4. Must possess the ability to understand new concepts quickly and apply them in an evolving environment while contributing to the development of new processes.
5. Must be customer focused and possess the ability to identify issues, analyze data and develop solutions to a variety of non-routine problems.
...",no,
"Project Coordinator - Lacey, WA",2025-03-04,https://jobright.ai/jobs/info/67c7373cc1ed6e62a987ca3f?utm_source=1100&utm_campaign=pm,On Site,"Lacey, WA",Bowman Consulting,1001-5000,"Civil Engineering,Commercial Real Estate",$40-$43 /hr,"1. High School Diploma/GED with equivalent commensurate experience required
2. Prior experience required
3. Demonstrated ability to summarize conclusions and confidently present well-supported arguments with internal/external stakeholders
4. Fluent in Microsoft Office Suite
5. Adept at planning and organizing
...",not sure,
Project Coordinator I,2025-03-04,https://jobright.ai/jobs/info/67c73ea33da18f05546144b7?utm_source=1100&utm_campaign=pm,On Site,"Multi Location
Fairfield, CA
Chico, CA
Sonoma County, CA",Partnership HealthPlan of California,501-1000,"Health Care,Insurance",$34-$43 /hr,"1. High School diploma or equivalent.
2. Minimum of one (1) year project coordination experience.
3. Strong organization skills with ability to prioritize assignments, manage time effectively, and coordinate project activities between multiple groups.
4. Effective communication skills, both verbal and written, to interpret and articulate project requirements to involved stakeholders.
5. Ability to interpret project requirements and project budget.
...",not sure,
Project Manager,2025-03-04,https://jobright.ai/jobs/info/67c72c3dca3503981f96c546?utm_source=1100&utm_campaign=pm,On Site,"Brooklyn, NY",Metropolitan Transportation Authority,10000+,"Association,Public Transportation",$68835-$137501 /yr,"1. A baccalaureate degree from an accredited college in engineering, architecture, landscape architecture, business administration, or public administration, and one year of full-time satisfactory experience in project management work, such as planning, administering, managing, coordinating, or expediting, for engineering and/or architectural and/or landscape architectural projects.
2. A four year high school diploma or its educational equivalent approved by a State's department of education or a recognized accrediting organization and five years of experience as described in '1' above.
3. A four year high school diploma or its educational equivalent approved by a State’s department of education or a recognized accrediting organization plus any combination of the experience and/or college education as described in '1' above to make up the equivalent of five years of education and experience.
4. One year of credit will be given for each 30 semester credits of college education leading to a baccalaureate degree from an accredited college in engineering, architecture, landscape architecture, business administration, or public administration.
5. For assignment to certain positions, candidates must possess a motor vehicle driver license valid in the State of New York. The license must be maintained for the duration of employment in such position.
...",not sure,
Project Coordinator,2025-03-04,https://jobright.ai/jobs/info/6773612a952b8a77b3f5caf7?utm_source=1100&utm_campaign=pm,On Site,"Ridgefield, CT",Helios Service Partners,1001-5000,"Commercial,Construction",$42K-$47K /yr,"1. High School Diploma/GED required
2. Excellent verbal, written and time-management skills.
3. Ability to work effectively in collaboration across all departments.
4. Must be productive in a deadline driven work environment.
5. Proven ability to adapt and be flexible to change.
...",not sure,
"Project Coordinator - Q3C, Gas Operations.",2025-03-04,https://jobright.ai/jobs/info/678f135da013ca64607fb4b5?utm_source=1100&utm_campaign=pm,On Site,"Little Canada, MN",Primoris Services Corporation,10000+,"Building Maintenance,Building Material",$28-$30 /hr,"1. High school diploma or equivalent
2. Proficiency in English
3. Advanced knowledge of MS Office Products
4. Reliable and punctual
5. Extreme attention to detail
...",not sure,
"Project Manager, Operations",2025-03-04,https://jobright.ai/jobs/info/67c71e319a5a32013125bc19?utm_source=1100&utm_campaign=pm,On Site,"Multi Location
Southfield, MI
Naperville, IL","RXO, Inc.",5001-10000,"Logistics,Supply Chain Management",$62-$78 /hr,"1. Bachelor’s degree in an analytical field or equivalent related work or military experience in logistics, transportation and/or warehousing
2. 1 year of experience in operations, preferably in manufacturing or logistics and/or Experience with Carrier Procurement, Load Planning & Execution, Freight Audit and Payment or Transportation Analysis
3. Project and/or Program management experience and the willingness to either obtain or maintain the Project Management Professional certification (PMP)
4. Experience with Microsoft Office (Word, Excel and PowerPoint) and experience working with or implementing Transportation Management software
5. Lean or Six Sigma experience or experience with Value Stream Mapping",not sure,
"Project Manager I, IPCM",2025-03-04,https://jobright.ai/jobs/info/67c71560ed1352d5a67c7fd5?utm_source=1100&utm_campaign=pm,Hybrid,United States,BCD Travel,10000+,Leisure,$70000-$80000 /yr,"1. Proven experience in Project Management role
2. General to strong working knowledge of travel industry
3. Good written and oral communication skills
4. Leverage regional and local resources and resources from the different departments and functions to support projects
5. Follow all IPCM procedures and OneTouch Project methodology and reporting
...",not sure,
Project Control Analyst,2025-03-04,https://jobright.ai/jobs/info/67b5590f5d4fa424c6b7009c?utm_source=1100&utm_campaign=pm,Remote,"Tacoma, WA",Akima,5001-10000,"Construction,Consulting",$70K-$75K /yr,"1. Ability to work independently, self-motivated, proactive.
2. Track record of delivering well-organized and accurate work.
3. Strong written and verbal communication skills.
4. Proven ability to work well with various teams to accomplish tasks.
5. Strong Excel skills to include VLOOKUP, SUMIF, and PivotTables.
...",not sure,yes
"Technical Project Management II (Master's) - Albany, NY",2025-03-04,https://jobright.ai/jobs/info/67a9fdcf5d5610ccc1a9395e?utm_source=1100&utm_campaign=pm,On Site,"Albany, NY",Applied Materials,10000+,"Electronics,Manufacturing",$84K-$116K /yr,"1. Graduating with a Bachelor’s degree in Mechanical or Chemical Engineering with a Master’s in Engineering Management, Business Management, or MBA
2. Must be in good academic standing
3. Able to solve complex problems and take a new perspective on existing solutions
4. Flexible and adaptable mindset
5. Thrive in a results-driven culture
...",not sure,
Project Manager,2025-03-04,https://jobright.ai/jobs/info/67c6d145f378a001ada0ed25?utm_source=1100&utm_campaign=pm,On Site,"Kansas City, KS",Procter & Gamble,10000+,"Beauty,Brand Marketing",$85K-$115K /yr,"1. 0-2 Years of Experience
2. An Engineering Degree or the equivalent of 2 to 3 years experience in Project Management, Capital Management, or Construction Management in an industrial or manufacturing setting.",no,yes
Project Planning Specialist,2025-03-04,https://jobright.ai/jobs/info/67cc09873e30127bd2011108?utm_source=1100&utm_campaign=pm,On Site,"San Diego, CA",Oceaneering,10000+,"Energy,Industrial",$45-$50 /hr,"1. A 2-year degree in a project management related field, or equivalent experience or qualifications.
2. Basic understanding of project management principles and experience applying them to a project.
3. Strong working knowledge of MS Office Suite software.
4. Good oral and written communication skills, including demonstrated ability to organize and present ideas in a logical manner.
5. Some experience writing reports and preparing procedures.
...",not sure,
Associate Project Manager MOD,2025-03-03,https://jobright.ai/jobs/info/67c67809e74ffc598dae643c?utm_source=1100&utm_campaign=pm,On Site,"San Francisco, CA",Schindler Elevator Corporation (U.S.),1001-5000,,$88K-$110K /yr,"1. Relevant Associates Degree, BA, BS, or Construction Management degree.
2. Work experience may substitute for degree.
3. Engineering degree as a differentiator.
4. Working knowledge of Microsoft Office suite required.
5. Project management
...",not sure,
Project Coordinator,2025-03-03,https://jobright.ai/jobs/info/67c665ceaf7016a489e61ee3?utm_source=1100&utm_campaign=pm,Hybrid,"Kansas City, MO","Project Resources Group, Inc.",251-500,"Apps,Consulting",$24-$28 /hr,"1. Experience with contractors and coordinating multi-site projects
2. Working knowledge of Excel and other Microsoft Office programs
3. Customer service acumen to interpret, communicate, and help deliver client needs
4. Impressive ability to organize and prioritize projects
5. Strong communication skills and ability to adjust delivery to your audience verbally and in writing
...",not sure,
"Project Manager, Client Associate (March Start Date)",2025-03-03,https://jobright.ai/jobs/info/67c65fab144c57927126a91b?utm_source=1100&utm_campaign=pm,On Site,"New York, NY",Capvision,501-1000,"Consulting,Information Services",$14K-$87K /yr,"1. Strong academic background gained in any undergraduate degree
2. 8+ months of working experience in business development, sales, account management, agency recruiting, or consulting
3. Fluent in English
4. Direct experience in stakeholder management with junior team members
5. Ability to flourish in a KPI driven environment
...",no,
Assistant Project Manager - Utility,2025-03-03,https://jobright.ai/jobs/info/67c65d2170bbe61413f619be?utm_source=1100&utm_campaign=pm,On Site,"Cheverly, MD",Aldridge Electric,501-1000,"Electronics,Telecommunications",$70K-$100K /yr,"1. Bachelor’s Degree in Construction Management, Engineering, Business Management, other related major, or equivalent construction/Union trade background
2. Internships or other relevant work experience
3. Strong work ethic
4. Problem solving and critical thinking skills
5. Ability to prioritize and manage time
...",not sure,
Sr Project Coordinator - Parenting,2025-03-03,https://jobright.ai/jobs/info/67c29fd311c62f672496309c?utm_source=1100&utm_campaign=pm,On Site,"Multi Location
Colorado Springs, CO
CO",Focus on the Family,501-1000,Service Industry,$20-$23 /hr,"1. Exemplifies Ephesians 5:1-2, 'Therefore be imitators of God as dear children and walk in love, as Christ also has loved us and given Himself for us...'
2. Pursues the Great Commission given by Jesus Christ in Matthew 28:19-20, 'Go therefore and make disciples of all the nations, baptizing them in the name of the Father and of the Son and of the Holy Spirit, teaching them to observe all things that I have commanded you; and lo, I am with you always, even to the end of the age.'
3. Is a consistent witness for Jesus Christ; maintains a courteous, Christ-like attitude in dealing with people within and outside of Focus; adheres to the Standard of Moral Conduct and Statement of Faith; upholds Focus on the Family's ministry in prayer
4. Prays personally for Focus on the Family’s staff and constituents and may occasionally lead in a public prayer
5. Engages in Christian ministry
...",not sure,
Project Control Analyst I,2025-03-03,https://jobright.ai/jobs/info/67b5590f5d4fa424c6b700cc?utm_source=1100&utm_campaign=pm,Remote,"Eglin Air Force Base, FL",Akima,5001-10000,"Construction,Consulting",$70K-$95K /yr,"1. Ability to work independently, self-motivated, proactive.
2. Track record of delivering well-organized and accurate work.
3. Strong written and verbal communication skills.
4. Proven ability to work well with various teams to accomplish tasks.
5. Strong Excel skills to include VLOOKUP, SUMIF, and PivotTables.
...",not sure,yes
Assistant Project Manager,2025-03-03,https://jobright.ai/jobs/info/67c63a8b1e26ba00cca4a333?utm_source=1100&utm_campaign=pm,On Site,"Panama City, FL","Eastern Shipbuilding Group, Inc.",501-1000,Shipping,$1-$1 /yr,"1. High school diploma or GED equivalence required.
2. Construction experience required.
3. Ability to read and understand construction drawings required.
4. Basic accounting and administrative experience or similar required.
5. Excellent written and verbal communication skills with the ability to effectively present information.
...",not sure,
Project Support Assistant I,2025-03-03,https://jobright.ai/jobs/info/67c6332f23b2c0176e57cee3?utm_source=1100&utm_campaign=pm,Hybrid,"Becket, MA",VT Group (VTG),5001-10000,"Information Technology,Military",$20-$23 /hr,"1. At least 1-3 years of experience in related field.
2. High School Diploma.
3. Must be able to obtain and maintain a secret clearance.
4. Must be a US Citizen.",no,
National MarComm Operations Coordinator,2025-03-03,https://jobright.ai/jobs/info/67c62b05c0a2932cdecc6bcf?utm_source=1100&utm_campaign=pm,Remote,"White Plains, NY",Marsh McLennan Agency,5001-10000,"Employee Benefits,Health Care",$38K-$67K /yr,"1. Ability to work with and influence a wide range of cross-functional work teams and leaders
2. Assist with scheduling and calendar management for various team members
3. Excellent verbal and written communication as well as analytical thinking and problem solving skills
4. Insurance and/or MarComm industry experience
5. Organized, responsive, and accountable with the proven ability to handle multiple priorities
...",no,
Project Coordinator,2025-03-03,https://jobright.ai/jobs/info/67bce5488cdaa1b350cba04a?utm_source=1100&utm_campaign=pm,On Site,"Multi Location
University, MS
Oxford, MS",University of Mississippi,,"Education,Sports",$42640-$63980 /yr,"1. Bachelor's Degree
2. No Experience Required
3. An equivalent combination of related experience and education may be considered for this role.
4. Substitutions of the required experience or education will be assessed on a 1:1 substitution basis.",no,
Project Coordinator - Architecture - Aviation Market,2025-03-03,https://jobright.ai/jobs/info/67c62b05c0a2932cdecc6ca2?utm_source=1100&utm_campaign=pm,On Site,"Denver, CO",Gresham Smith,501-1000,"Consulting,Product Design",$55K-$65K /yr,"1. 5-year Bachelor's/Master's degree in Architecture.
2. 0-1 years of job-related or design experience required; prior internships may count toward that total.
3. Demonstrated experience executing aviation architectural projects from the master planning phase through construction administration.
4. Demonstrated experience using REVIT Sketchup, Enscape, Lumion, and PhotoShop software.
5. Ability to interact professionally and comfortably with various personalities and communication styles and build and maintain excellent interpersonal relationships.
...",no,yes
National MarComm Operations Coordinator,2025-03-03,https://jobright.ai/jobs/info/67c5f89ffd99a85f4d7ec624?utm_source=1100&utm_campaign=pm,On Site,White Plains - Hamilton,Marsh McLennan,10000+,"Financial Services,Professional Services",$38200-$66800 /yr,"1. Ability to work with and influence a wide range of cross-functional work teams and leaders
2. Assist with scheduling and calendar management for various team members
3. Excellent verbal and written communication as well as analytical thinking and problem solving skills
4. Insurance and/or MarComm industry experience
5. Organized, responsive, and accountable with the proven ability to handle multiple priorities
...",no,
