Position Title,Date,Apply,Work Model,Location,Company,Company Size,Company Industry,Salary,Qualifications,H1b Sponsored,Is New Grad
Junior Videographer,2025-06-17,https://jobright.ai/jobs/info/68514f4a8e007443b81b3b32?utm_source=1100&utm_campaign=Arts and Entertainment,Hybrid,"Washington, DC 20004",Monumental Sports & Entertainment,251-500,Sports,$65000-$80000 /yr,"1. Bachelor's Degree.
2. 1+ years of experience in a content production environment.
3. Familiarity working with multiple camera systems and strong editing skills on Premiere.
4. Ability to demonstrate strong shooting talent and an eagerness to develop additional productions skills.
5. Experience across a wide range of field production, including multiple cameras, wired and wireless audio and lighting.
...",not sure,
Entry-Level Automotive Detailer/ Lot Attendant ,2025-06-16,https://jobright.ai/jobs/info/685110d63816db6ec5c2409c?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Oklahoma City, OKC",Carvana,10000+,"Automotive,Autonomous Vehicles",$15-$15 /hr,"1. Ability to physically operate vehicle equipment and tools - must be able to lift up to 60 pounds independently
2. Must be at least 18 years of age and possess a valid driver’s license
3. Some positions may be subject to a Motor Vehicle Records (MVR) check
4. An ability to work in a fast-paced, ever-changing production environment while sometimes being exposed to excessive weather conditions (heat/cold)
5. Use of safety equipment that may include but not limited to face shield or goggles, non-slip shoes, gloves, mask, and other protective garments and equipment
...",no,
Detailer - 3rd shift,2025-06-16,https://jobright.ai/jobs/info/6854000ecf93eb1d8eba1338?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Wichita, KS",Village Travel,251-500,"Tourism,Travel",$18 /hr,"1. Proven experience as custodian, janitor or in a similar role.
2. Familiarity with basic landscaping and handyman practices.
3. Attention to detail and conscientiousness.",not sure,
"Coordinator, Production (Temp)",2025-06-16,https://jobright.ai/jobs/info/67ddf6054b541bf0b73fa0e7?utm_source=1100&utm_campaign=Arts and Entertainment,Hybrid,"Los Angeles, CA",Warner Music Group,1001-5000,"Digital Entertainment,Media and Entertainment",$22-$23 /hr,"1. Proven experience in digital asset management, production coordination, or a similar role within a record label, music distributor, or related music industry company
2. Proficiency in Google Workspace
3. Hands-on experience working with various Digital Service Provider (DSP) delivery platforms and content management systems
4. Strong understanding of digital audio formats (WAV, FLAC, MP3, etc.), video formats, codecs, and metadata standards (DDEX)
5. Strong interpersonal skills and the ability to collaborate with both creative and business-oriented team members to develop and execute strategic projects with strict deadlines
...",not sure,
Golf Course Maintenance - Bar Run Golf & RV Resort,2025-06-16,https://jobright.ai/jobs/info/6850d185813d2d2132e70f60?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Roseburg, OR",Columbia Hospitality,5001-10000,"Hospitality,Sports",$17-$17 /hr,"1. Must have a general understanding of landscaping.
2. Must have knowledge and the ability to operate tools, hand tools and power tools in a safe and efficient manner.
3. Must be flexible and able to perform multiple tasks and work in stressful situations.",not sure,
Associate Editor - Firehouse,2025-06-16,https://jobright.ai/jobs/info/6837c5d0988d6ce38a991d2f?utm_source=1100&utm_campaign=Arts and Entertainment,Remote,United States,Endeavor Business Media,501-1000,"B2B,Media and Entertainment",$19-$19 /hr,"1. Strong attention to detail
2. Effective time management skills
3. Ability to prioritize tasks
4. Ability to work independently, or as part of a team
5. Strong communication skills
...",not sure,
Destiny Producer (Associate to Mid),2025-06-16,https://jobright.ai/jobs/info/6850cd78af303771e86479b9?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,United States,Bungie,,Media and Entertainment,$89K-$144K /yr,"1. Experience in internal games production, in a AAA setting (or equivalent).
2. Product acumen in the development of multiplayer shooters, especially live service games.
3. Demonstrated ability to partner with creative and technical leaders and staff.
4. Results oriented, focused, and composed under pressure.
5. Ability to self-motivate and motivate others.
...",not sure,
Night and Weekend Custom Framer,2025-06-16,https://jobright.ai/jobs/info/6850bbe57d4fca5b55d5c848?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,Lynnwood-3115 Alderwood Mall Blvd,Michaels Stores,501-1000,"Education,Marketplace",$17.75-$20.90 /hr,"1. basic computer skills and basic measuring skills
2. ability to operate the framing equipment and glass cutter
3. Adhere to Standard Operating Procedures (SOP’s) and Company programs to ensure compliance to applicable laws and requirements; execute Company policies and standards
4. Embrace and execute personal designer by using Elevated ABC Deliver to build relationships with all customers while creating Custom Framing solutions.
5. deliver sales and production results
...",not sure,
event cordinator,2025-06-16,https://jobright.ai/jobs/info/6850bbe57d4fca5b55d5c842?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,Costa Mesa-610 W 17th St,Michaels Stores,501-1000,"Education,Marketplace",$16.50-$19.40 /hr,"1. Plan and coordinate multiple events at once including children’s birthday parties and other craft classes or events.
2. Engage with clients of all ages, from 4 to 94+, by creating an environment of fun and creativity.
3. Demonstrate and instruct party participants in the completion of craft projects, perform face painting and other activities.
4. Facilitate and implement party add-ons such as goody bags, balloons, etc. to company standards.
5. Communicate events with clients and store team members.
...",not sure,
Associate Web Producer,2025-06-16,https://jobright.ai/jobs/info/6850bb634bc4e2d9774a980a?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Seattle, WA",Tommy Bahama,1001-5000,"Apparel,E-Commerce",$26-$39 /hr,"1. BS/BA or related experience required.
2. 1+ years in a production or project management role for a corporate digital/ecommerce company.
3. Understanding of Internet technologies and the operations of an ecommerce website.
4. Experience working with content management systems (CMS) a plus.
5. Ability to manage multiple projects simultaneously in a fast-paced, deadline-driven environment.
...",not sure,
Music Royalty Analyst,2025-06-16,https://jobright.ai/jobs/info/6850f428fa010a7694b4ec98?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Multi Location
White Plains, NY
New York City, NY","Gelfand, Rennert & Feldman, LLC",251-500,"Accounting,Consulting",$58510-$62525 /yr,"1. Bachelor's degree is required
2. Advanced proficiency in Excel, including Pivot Tables and formulas (such as VLOOKUP and SUMIF) – bonus points for experience with Power Pivot and Power Query
3. Solid interpersonal skills and other key soft skills (i.e., communication, time management, emotional intelligence, adaptability, active listening, critical-thinking, etc.)
4. A genuine interest in the music business and music royalties
5. Be a self-motivated and detail-oriented analytical thinker
...",not sure,
Studio Associate,2025-06-16,https://jobright.ai/jobs/info/6850aef7a7c5e145f49bc1fa?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"White Plains, NY",Lucid Motors,5001-10000,"Automotive,Autonomous Vehicles",$27-$31 /hr,"1. Exceptional people skills including strong oral and written communication, empathy and active listening ability.
2. Ability to deliver outstanding customer experiences in a fast paced and dynamic environment.
3. Conscientious, responsible and reliable.
4. Curiosity and passion about electric vehicles and the premium vehicle market and competitive landscape
5. Comfortable operating in ambiguous retail environment
...",not sure,
Production Associate - Utility III - $17.00/Hour,2025-06-16,https://jobright.ai/jobs/info/6850aef7a7c5e145f49bc18f?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Fort Worth, TX",Cintas,10000+,"Compliance,Manufacturing",$17-$17 /hr,"1. Must be authorized to work in the US.
2. Must be 18 years of age or older.
3. Must adhere to attendance policy.
4. Must be willing to work in a safe proximity to other people for extended periods of time.
5. Must be willing to work in a fast-paced, schedule driven environment where there are time pressures to complete work quickly.
...",no,
Full time Lynnwood Golf Course Grounds Maintenance Crew - $22+ DOE plus Golf Discounts,2025-06-16,https://jobright.ai/jobs/info/667dfff9ab9b33e061703eb9?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Lynnwood, WA",Troon,1001-5000,,$22-$25 /hr,1. 1 year Golf Course Maintenance or 2 plus years landscaping,not sure,
"Assistant Colorist, Licensed Cosmetologist",2025-06-16,https://jobright.ai/jobs/info/685095e389f9b08ec98f6932?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Multi Location
Laguna Niguel, CA
Tustin, CA
Chino Hills, CA
Walnut Creek, CA
Roseville, CA
Del Mar, CA
Torrance, CA",Madison Reed,501-1000,"Beauty,Consumer Goods",$18-$20 /hr,"1. Active cosmetology license in the state in which you are applying.
2. Entry level experience in any customer service or retail sales environment.
3. Effective communication, strong problem solving and people skills, in a fast-paced retail or salon environment.
4. Comfortable operating point of sale systems.
5. Fluency in English.",not sure,
"Bench Jeweler - Signet Jewelers - Winchester Marketplace - San Diego, CA",2025-06-16,https://jobright.ai/jobs/info/6539482cebd02de76baad766?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Temecula, CA",Signet Jewelers,10000+,"E-Commerce Platforms,Jewelry",$17-$24 /hr,"1. 1-3 years Bench Jeweler (or relevant) experience in skilled trades working with fine metals
2. Passing a qualified bench test to assess current jeweler level
3. Excellent organizational skills & detail orientation
4. Customer service minded individuals with a high standard for quality work
5. Basic computer skills
...",not sure,
"Apprentice Jeweler - Signet Jewelers - Arundel Mills - Hanover, MD",2025-06-16,https://jobright.ai/jobs/info/67007e42414cf8fa763f30ab?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Hanover, MD",Signet Jewelers,10000+,"E-Commerce Platforms,Jewelry",$15-$16 /hr,"1. Customer Service minded with strong interpersonal skills
2. High standard for quality work
3. Basic Computer Skills
4. Excellent Organizational Skills
5. Detail Orientated
...",not sure,
Official Court Reporter 2 (Realtime) OR - Official Court Reporter 1 (Realtime) Apprentice,2025-06-16,https://jobright.ai/jobs/info/684225387944f56c10709dc6?utm_source=1100&utm_campaign=Arts and Entertainment,Hybrid,"Newark, NJ",New Jersey Courts,5001-10000,"Government,Legal",$81K-$118K /yr,"1. Possession of a valid Certified Court Reporter License issued by the New Jersey State Board of Court Reporting.
2. Must obtain a valid Certified Realtime Court Reporter Certificate issued by the New Jersey Board of Court Reporting, a valid National Certified Realtime Reporter Certificate issued by the National Court Reporters Association, or a New Jersey Judiciary Realtime Certificate, within one year from the start date of employment in order to maintain employment.
3. Possession of a valid Certified Realtime Court Reporter Certificate issued by the New Jersey State Board of Court Reporting, a valid National Certified Realtime Reporter Certificate issued by the National Court Reporters Association, a New Jersey Judiciary Realtime Certificate, or equivalent out-of-state Board of Court Reporting review and approval.
4. Ability to perform work which requires climbing and prolonged standing, stretching, bending and reaching.
5. Ability to frequently lift and carry supplies weighing from 30 to 50 pounds and, occasionally, materials weighing up to 75 pounds.
...",no,
"Associate Producer, The Big Money Show",2025-06-16,https://jobright.ai/jobs/info/6850786e2bc4a391580f520e?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"New York, NY",Fox Business Network,251-500,"Finance,News",$67K-$70K /yr,"1. 1-3 years of prior television (or similar) experience
2. Strong knowledge of business news, politics, and current events
3. Ability to work collaboratively with others under intense deadline pressure
4. Ability to work independently and make smart decisions on your own
5. Willingness to listen, learn, and grow from constructive criticism",not sure,
"Assistant Colorist, Licensed Cosmetologist ",2025-06-16,https://jobright.ai/jobs/info/6850edd88729aec112b8a2c6?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Gaithersburg, MD",Madison Reed,501-1000,"Beauty,Consumer Goods",$21.15-$30 /hr,"1. Active cosmetology license in the state in which you are applying.
2. Entry level experience in any customer service or retail sales environment.
3. Effective communication, strong problem solving and people skills, in a fast-paced retail or salon environment.
4. Comfortable operating point of sale systems.
5. Fluency in English.",not sure,
Studio Associate ,2025-06-16,https://jobright.ai/jobs/info/685060548f21f95e346c6677?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Seattle, WA",Lucid Motors,5001-10000,"Automotive,Autonomous Vehicles",$27-$37 /hr,"1. Exceptional people skills including strong oral and written communication, empathy and active listening ability.
2. Ability to deliver outstanding customer experiences in a fast paced and dynamic environment.
3. Conscientious, responsible and reliable.
4. Curiosity and passion about electric vehicles and the premium vehicle market and competitive landscape
5. Comfortable operating in ambiguous retail environment
...",not sure,
"Booker/Researcher, Mornings with Maria",2025-06-16,https://jobright.ai/jobs/info/68508470eb0367e9e371a147?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"New York, NY",Fox Business Network,251-500,"Finance,News",$54K-$63K /yr,"1. 1+ years of experience in live television production
2. Team-player attitude paired with the ability to meet quick deadlines and react to rapid news developments
3. Passionate and well-read in current events especially business and politics
4. Possess a keen eye for interesting stories and trending news
5. Ability to work overnight hours
...",not sure,
Deli Production Team Member,2025-06-16,https://jobright.ai/jobs/info/6850786e2bc4a391580f568e?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Tumwater, WA",Pilot Flying J,10000+,"Oil and Gas,Travel",$16-$24 /hr,"1. Highly motivated self-starters
2. Ability to work as part of a team
3. Able to lift 50 pounds and walk/stand most of the day
4. Ability to work a flexible schedule of nights, days, weekends, and holidays",not sure,
Deli Production Team Member,2025-06-16,https://jobright.ai/jobs/info/6850786e2bc4a391580f5691?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Williams, IA",Pilot Flying J,10000+,"Oil and Gas,Travel",$11.33-$15.18 /hr,"1. Highly motivated self-starters
2. Ability to work as part of a team
3. Able to lift 50 pounds and walk/stand most of the day
4. Ability to work a flexible schedule of nights, days, weekends, and holidays",not sure,
On-Air Talent- Temporary,2025-06-16,https://jobright.ai/jobs/info/685048d81896429f7f2dc6ab?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"800 Hennepin Avenue, Minneapolis, MN, 55403, US",Sinclair Inc.,5001-10000,"Broadcasting,Content",$50-$50 /hr,"1. Educational background or degree; experience in mass communications, journalism or a related media based major
2. Strong organizational, written, verbal, and on camera communication skills",not sure,
Associate Medical Editor,2025-06-16,https://jobright.ai/jobs/info/6834c058072fba158f45af2f?utm_source=1100&utm_campaign=Arts and Entertainment,Remote,"Remote, United States",Precision Medicine Group,1001-5000,"Biotechnology,Health Care",$42000-$58000 /yr,"1. Bachelor’s degree in English, Journalism, or similar field
2. 1 year of editorial experience
3. Beginning knowledge of AMA (11th edition) style
4. Proficiency with Microsoft Office suite of products as well as familiarity with editing in Adobe Acrobat Professional
5. Required to work PST Hours, preference to be located in PST/ MST",not sure,
Groundskeeper - The Standard at Seattle,2025-06-16,https://jobright.ai/jobs/info/68503bbdf04795b91cc72a8c?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Seattle, WA","Landmark Properties, Inc.",501-1000,Real Estate,$25.75-$25.75 /hr,"1. Must have excellent communication and people skills
2. Must possess the ability to work independently
3. Must have attention for detail",not sure,
"Booker/Researcher, Mornings with Maria",2025-06-16,https://jobright.ai/jobs/info/68503bbdf04795b91cc72a30?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"New York, New York, USA",Fox Corporation,10000+,"Broadcasting,Media and Entertainment",$54000-$63000 /yr,"1. 1+ years of experience in live television production
2. Team-player attitude paired with the ability to meet quick deadlines and react to rapid news developments
3. Passionate and well-read in current events especially business and politics
4. Possess a keen eye for interesting stories and trending news
5. Ability to work overnight hours
...",not sure,
Production Assistant - West Elm,2025-06-16,https://jobright.ai/jobs/info/67dcd1101c013cc97ea3cbb7?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"New York, NY",West Elm,1001-5000,"Furniture,Home Decor",$50000-$55000 /yr,"1. Degree in photography, video, merchandising or related field; or comparable production experience.
2. 1+ year(s) photo studio/PA or warehouse experience.
3. Proven attention to detail and strong organizational skills.
4. Sense of urgency and ability to support multiple projects/sets simultaneously with a service mindset.
5. Proficient in the Microsoft suite and Airtable a plus.
...",no,
"Production Assistant, Denim",2025-06-16,https://jobright.ai/jobs/info/6850324adff0ce71d07bf335?utm_source=1100&utm_campaign=Arts and Entertainment,Hybrid,LA Metro Area,Veronica Beard,101-250,"Apparel,Fashion",$24-$25 /hr,"1. 1-2 years’ experience in related field
2. Bachelor's degree
3. Strong computer literacy (Microsoft Office and Outlook) with an emphasis on Excel
4. Strong written and verbal communication skills
5. Careful attention to detail when entering data and creating reports
...",not sure,
Japanese Content Producer (Seasonal),2025-06-16,https://jobright.ai/jobs/info/67f939b1601fec55fcf74130?utm_source=1100&utm_campaign=Arts and Entertainment,Remote,"Multi Location
San Francisco, CA
Los Angeles, CA
New York, NY",Major League Baseball (MLB),10000+,"Association,Baseball",$25-$25 /hr,"1. Professional-level writing, editing and translating in Japanese
2. Experience with content management systems and web publishing
3. Thorough grasp of baseball landscape and comfort with stats
4. Work well under deadline and in fast-paced situations with multiple responsibilities
5. Obsessive about accuracy
...",not sure,
"Apprentice Jeweler - Signet Jewelers - Rim - San Antonio, TX",2025-06-16,https://jobright.ai/jobs/info/667440ddbd65a761bf019617?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"San Antonio, TX",Signet Jewelers,10000+,"E-Commerce Platforms,Jewelry",$15-$15 /hr,"1. Customer Service minded with strong interpersonal skills
2. High standard for quality work
3. Basic Computer Skills
4. Excellent Organizational Skills
5. Detail Orientated
...",not sure,
"Bench Jeweler - Signet Jewelers - Sierra Commons - Palmdale, CA",2025-06-16,https://jobright.ai/jobs/info/65050b7c77d600038e5daf3c?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Palmdale, CA",Signet Jewelers,10000+,"E-Commerce Platforms,Jewelry",$20-$29 /hr,"1. 1-3 years Bench Jeweler (or relevant) experience in skilled trades working with fine metals
2. Passing a qualified bench test to assess current jeweler level
3. Excellent organizational skills & detail orientation
4. Customer service minded individuals with a high standard for quality work
5. Basic computer skills
...",not sure,
Line Cook - Bazille - International Plaza,2025-06-16,https://jobright.ai/jobs/info/68501515e6a023ccef554242?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Tampa, FL",Nordstrom,10000+,"E-Commerce,Fashion",$18-$19 /hr,"1. The ability to communicate clearly and professionally with customers and coworkers
2. Successfully thrived in a fast-paced environment
3. The ability to work a flexible schedule
4. A food handler’s card where required by local and state regulations",not sure,
Production Associate - Garment Fulfillment Associate,2025-06-16,https://jobright.ai/jobs/info/684ffd08b8b81869508dbe4f?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Multi Location
Cumberland, MD
Liverpool, NY",Cintas,10000+,"Compliance,Manufacturing",$15-$19 /hr,"1. Must be authorized to work in the US.
2. Must be 18 years of age or older.
3. Must adhere to attendance policy.
4. Must be willing to work in a safe proximity to other people for extended periods of time.
5. Must be willing to work in a fast-paced, schedule driven environment where there are time pressures to complete work quickly.
...",no,
"Bench Jeweler - Signet Jewelers - Vernon Hills, IL",2025-06-16,https://jobright.ai/jobs/info/6708b1692ba5056bf5d55fec?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Vernon Hills, IL",Signet Jewelers,10000+,"E-Commerce Platforms,Jewelry",$17-$24 /hr,"1. 1-3 years Bench Jeweler (or relevant) experience in skilled trades working with fine metals
2. Passing a qualified bench test to assess current jeweler level
3. Excellent organizational skills & detail orientation
4. Customer service minded individuals with a high standard for quality work
5. Basic computer skills
...",not sure,
Digital News Content Producer,2025-06-16,https://jobright.ai/jobs/info/67dd1b6b006639b16a214f3a?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Baltimore, MD",Sinclair Inc.,5001-10000,"Broadcasting,Content",$20-$23 /hr,"1. Experience writing and producing news content for the web and social media
2. Excellent writing skills and news judgment
3. Strong digital analytics skills to help guide story placement on respective digital platforms
4. Identify and post engaging, timely, and relevant content
5. Monitor competitive social practices
...",not sure,
"Podcast Coordinator, Audio",2025-06-16,https://jobright.ai/jobs/info/681511c1e20f7c0edd7182de?utm_source=1100&utm_campaign=Arts and Entertainment,Hybrid,"New York, NY",Fox News Media,1001-5000,Broadcasting,$21-$25 /hr,"1. Experience editing all-news radio or producing podcast programming
2. Highly skilled in writing and copy editing
3. Strong digital journalism skills and social media experience
4. Ability to make the right decisions during breaking news situations, as well as during routine shifts
5. Ability to interact with high profile talent
...",not sure,
Production Associate | Night Shift,2025-06-15,https://jobright.ai/jobs/info/68563b64a3a54e845e66ab7f?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Murfreesboro, TN","Capstone Logistics, LLC",10000+,Logistics,$16-$19 /hr,"1. Must be able to move up to 10lbs
2. Must be able to reliably commute to and from work
3. Must be able to work well with others, take direction from leadership, and maintain a safe and clean area
4. Must wear steel-toe footwear
5. Must be willing to wear PPE like safety glasses.
...",not sure,
"Apprentice Jeweler - Signet Jewelers - Crossings at Fox Run - Newington, NH",2025-06-15,https://jobright.ai/jobs/info/674d70409b91389683a825cc?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Newington, NH",Signet Jewelers,10000+,"E-Commerce Platforms,Jewelry",$15-$15 /hr,"1. Customer Service minded with strong interpersonal skills
2. High standard for quality work
3. Basic Computer Skills
4. Excellent Organizational Skills
5. Detail Orientated
...",not sure,
Assistant Theatre Director,2025-06-15,https://jobright.ai/jobs/info/6850e89123c81ac4b6d1d9a8?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Cincinnati, OH",Jewish Federation of Cincinnati,51-100,Non Profit,$1K-$1K /yr,"1. Comfortable working with children ages 5 – 14
2. Prior experience working in children’s programming or educational theatre
3. A proactive, collaborative approach to the work
4. One or more years of directing experience, or several years of theatre experience across disciplines
5. Strong communication and organizational skills
...",not sure,
"Apprentice Jeweler - Signet Jewelers - Mall at Millenia - Orlando, FL",2025-06-15,https://jobright.ai/jobs/info/667493ee3990c28f4c6c4afb?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,Greater Orlando,Signet Jewelers,10000+,"E-Commerce Platforms,Jewelry",$15-$15 /hr,"1. Customer Service minded with strong interpersonal skills
2. High standard for quality work
3. Basic Computer Skills
4. Excellent Organizational Skills
5. Detail Orientated
...",not sure,
Jr. Gaming Content Writer (Technical Player Support),2025-06-15,https://jobright.ai/jobs/info/684f63aeb59f83c1e2862bbb?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Bellevue, WA",Blueprint,501-1000,"Consulting,Information Technology",$23.08-$26.44 /hr,"1. 1-2 years of experience writing and publishing game-related content or training.
2. 1-2 years of experience creating consumer-facing instructions for technical processes, specifically for self-service and email-based customer support.
3. Ability to communicate complex information clearly, concisely, and accurately.
4. Passion for gaming and a sincere interest in the latest technology trends.
5. Desire to build a world-class player experience from the ground up.",not sure,
Leveraged Finance Reporter,2025-06-15,https://jobright.ai/jobs/info/6850b665b24323c82bea75c5?utm_source=1100&utm_campaign=Arts and Entertainment,Hybrid,"Multi Location
New York
New York, United States",9fin,101-250,"Analytics,Artificial Intelligence (AI)",$100000-$140000 /yr,"1. Have a proven interest in journalism, plus experience writing for a publication
2. Wish to join a rapidly-growing platform winning market share and attracting high quality readership from financial professionals
3. Proven interest in finance, economics and markets and understanding of basic concepts and terminology
4. Are a team player and can collaborate with other reporters on stories
5. Have a desire to build strong sourcing relationships across finance professionals and embed deeply as a crucial part of the market
...",not sure,
"Apprentice Jeweler - Signet Jewelers - Tanasbourne - Hillsboro, OR",2025-06-15,https://jobright.ai/jobs/info/667435053e9ad103ffe27c44?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Hillsboro, OR",Signet Jewelers,10000+,"E-Commerce Platforms,Jewelry",$15 /hr,"1. Customer Service minded with strong interpersonal skills
2. High standard for quality work
3. Basic Computer Skills
4. Excellent Organizational Skills
5. Detail Orientated
...",not sure,
Digital Content Producer,2025-06-15,https://jobright.ai/jobs/info/6815684684ca0d3eea6dfef4?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Rochester, NY","Nexstar Media Group, Inc.",10000+,"Broadcasting,Information Services",$15.50-$17 /hr,"1. Strong writing and editing skills, with attention to detail and knowledge of AP style
2. Proficiency in web content management systems
3. Must be able to work independently and collaboratively in a fast-paced environment
4. Knowledge of online news journalism and best practices
5. Basic clipping and editing of video for digital delivery
...",not sure,
"Apprentice Jeweler - Signet Jewelers - Cordova Mall - Pensacola, FL",2025-06-15,https://jobright.ai/jobs/info/667458f1ec688fb28a95bbc2?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Pensacola, FL",Signet Jewelers,10000+,"E-Commerce Platforms,Jewelry",$15-$15 /hr,"1. Customer Service minded with strong interpersonal skills
2. High standard for quality work
3. Basic Computer Skills
4. Excellent Organizational Skills
5. Detail Orientated
...",not sure,
"Apprentice Jeweler - Signet Jewelers - Holiday Centre - Monroeville, PA",2025-06-15,https://jobright.ai/jobs/info/66959dc1fc88230e49de3339?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Monroeville, PA",Signet Jewelers,10000+,"E-Commerce Platforms,Jewelry",$15-$15 /hr,"1. Customer Service minded with strong interpersonal skills
2. High standard for quality work
3. Basic Computer Skills
4. Excellent Organizational Skills
5. Detail Orientated
...",not sure,
"Tailor Fitter, Alterations - Westchester",2025-06-15,https://jobright.ai/jobs/info/6815bd2a030e6da2ac6b1160?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"White Plains, NY",Neiman Marcus,10000+,"Fashion,Lifestyle",$30.80-$32 /hr,"1. Customer Focus
2. Functional/Technical Skills
3. Technical Learning
4. Managing and Measuring Work
5. Process Management
...",not sure,
Junior Videographer,2025-06-14,https://jobright.ai/jobs/info/67bf74b1c3071f91c1c03414?utm_source=1100&utm_campaign=Arts and Entertainment,Hybrid,"Washington, DC",Monumental Sports & Entertainment,251-500,Sports,$65K-$80K /yr,"1. Bachelor's Degree.
2. 1+ years of experience in a content production environment.
3. Familiarity working with multiple camera systems and strong editing skills on Premiere.
4. Ability to demonstrate strong shooting talent and an eagerness to develop additional productions skills.
5. Experience across a wide range of field production, including multiple cameras, wired and wireless audio and lighting.
...",not sure,
Print Shop Catcher,2025-06-14,https://jobright.ai/jobs/info/68578e103eaa982d4d01278e?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Overland Park, KS",Challenger Sports,501-1000,Sports,$15-$15 /hr,"1. Strong organizational and interpersonal skills.
2. Self-motivated
3. Possess a good eye for detail.
4. Must be authorized to work in the U.S.A.
5. Ability to stand for long periods of time.
...",no,
KABC News Assistant - Part Time,2025-06-14,https://jobright.ai/jobs/info/684d9079f07caec4fc83b4a4?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Glendale, CA",The Walt Disney Company,10000+,"Amusement Park and Arcade,Animation",$24K-$32K /yr,"1. Must be able to work a minimum 3 days a week
2. Must be willing to work various shifts as needed, including early morning, overnight, weekends and holidays
3. Ability to use social media like Instagram, Facebook, TikTok, YouTube, etc. to help research stories
4. Ability to work quickly and under continuous deadlines required
5. Minimum of one year prior experience, either through an internship or college newsroom
...",not sure,
Assistant Golf Professional,2025-06-14,https://jobright.ai/jobs/info/6813c351762cbf27701b40d0?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Seattle, WA",Troon,1001-5000,,$25-$26 /hr,"1. PGA level 1 Associate or higher
2. Knowledge of Microsoft Office applications
3. Experience with computerized POS and tee time systems
4. Golf Genius operations
5. Club Fitting knowledge
...",not sure,
Cook Paradies Lagardere at Denver International Airport--$24.50 per hour,2025-06-14,https://jobright.ai/jobs/info/6830c2bd0db4a57672cbc320?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Denver, CO",Paradies Lagardère,1001-5000,,$22-$24 /hr,"1. Food preparation at 100% recipe adherence.
2. Follows recipes and/or product directions for preparing, seasoning, cooking, tasting, carving, portioning, and serving food items.
3. Follow production prep list and keep accurate records to accurately.
4. Requisition supplies and equipment as needed.
5. Ability to use knives, slicers, and kitchen equipment efficiently and safely.
...",not sure,
On-camera TikTok creator (AI/tech industry),2025-06-14,https://jobright.ai/jobs/info/680156330157e5a0cfd1c511?utm_source=1100&utm_campaign=Arts and Entertainment,Remote,Anywhere (Remote),B12,51-100,"E-Commerce,SEO",,"1. Experience creating short-form video content, whether personal or professional
2. Ability to be comfortable and natural on camera
3. Proven creativity and an instinct for what works on platforms like TikTok, Reels, and YouTube Shorts
4. Able to record, edit, and publish videos quickly (using CapCut, Adobe Premiere, or other video editing software)
5. Consistent delivery of high-quality content
...",not sure,
